date,pol_ru,rank,avg_score
Jul-07,Миллер Алексей Борисович,14,6.00
Jul-07,Грызлов Борис Вячеславович,15,5.93
Jul-07,Миронов Сергей Михайлович,16,5.87
Jul-07,Дерипаска Олег Владимирович,17,5.60
Jul-07,Матвиенко Валентина Ивановна,17,5.60
Jul-07,Якунин Владимир Иванович,17,5.60
Jul-07,Патрушев Николай Платонович,20,5.47
Jul-07,Нарышкин Сергей Евгеньевич,21,5.40
Jul-07,Шаймиев Минтимер Шарипович,22,5.33
Jul-07,Чемезов Сергей Викторович,23,5.27
Jul-07,Чубайс Анатолий Борисович,23,5.27
Jul-07,Козак Дмитрий Николаевич,25,5.20
Jul-07,Кожин Владимир Игоревич,26,5.07
Jul-07,Нургалиев Рашид Гумарович,27,5.00
Jul-07,Фридман Михаил Маратович,28,4.93
Jul-07,Шойгу Сергей Кужугетович,28,4.93
Jul-07,Громов Алексей Алексеевич,30,4.87
Jul-07,Жуков Александр Дмитриевич,30,4.87
Jul-07,Ткачев Александр Николаевич,30,4.87
Jul-07,Вайншток Семен Михайлович,33,4.80
Jul-07,Рейман Леонид Дододжонович,33,4.80
Jul-07,Христенко Виктор Борисович,33,4.80
Jul-07,Черкесов Виктор Васильевич,33,4.80
Jul-07,Шувалов Игорь Иванович,33,4.80
Jul-07,Игнатьев Сергей Михайлович,38,4.73
Jul-07,Алекперов Вагит Юсуфович,39,4.67
Jul-07,Богданчиков Сергей Михайлович,39,4.67
Jul-07,Сердюков Анатолий Эдуардович,39,4.67
Jul-07,Чайка Юрий Яковлевич,39,4.67
Jul-07,Потанин Владимир Олегович,43,4.60
Jul-07,Добродеев Олег Борисович,44,4.47
Jul-07,Лавров Сергей Викторович,44,4.47
Jul-07,Ковальчук Юрий Валентинович,46,4.40
Jul-07,Левитин Игорь Евгеньевич,46,4.40
Jul-07,Володин Вячеслав Викторович,48,4.33
Jul-07,Гордеев Алексей Васильевич,48,4.33
Jul-07,Эрнст Константин Львович,48,4.33
Jul-07,Зурабов Михаил Юрьевич,51,4.27
Jul-07,Кадыров Рамзан Ахматович,51,4.27
Jul-07,Трутнев Юрий Петрович,51,4.27
Jul-07,Мордашов Алексей Александрович,54,4.13
Jul-07,Авен Петр Олегович,55,4.07
Jul-07,Громов Борис Всеволодович,55,4.07
Jul-07,Приходько Сергей Эдуардович,55,4.07
Jul-07,Зюганов Геннадий Андреевич,58,4.00
Jul-07,Кириенко Сергей Владиленович,58,4.00
Jul-07,Фурсенко Андрей Александрович,58,4.00
Jul-07,Волошин Александр Стальевич,61,3.93
Jul-07,Евтушенков Владимир Петрович,61,3.93
Jul-07,Жириновский Владимир Вольфович,63,3.87
Jul-07,Казьмин Андрей Ильич,63,3.87
Jul-07,Рахимов Муртаза Губайдуллович,65,3.80
Jul-07,Костин Андрей Леонидович,66,3.73
Jul-07,Лебедев Вячеслав Михайлович,66,3.73
Jul-07,Степашин Сергей Вадимович,66,3.73
Jul-07,Чуров Владимир Евгеньевич,66,3.73
Jul-07,Артемьев Игорь Юрьевич,70,3.67
Jul-07,Дворкович Аркадий Владимирович,70,3.67
Jul-07,Хлопонин Александр Геннадиевич,70,3.67
Jul-07,Кирилл (Патриарх Московский и всея Руси),73,3.60
Jul-07,Устинов Владимир Васильевич,74,3.53
Jul-07,Балуевский Юрий Николаевич,75,3.47
